Lyrurus tetrix
Perdix perdix
Coturnix coturnix
Phasianus colchicus
Branta bernicla
Branta bernicla nigricans
Branta bernicla bernicla
Branta bernicla hrota
Branta ruficollis
Branta canadensis
Branta leucopsis
Anser indicus
Anser rossii
Anser anser
Anser fabalis
Anser brachyrhynchus
Anser serrirostris
Anser albifrons
Anser erythropus
Cygnus atratus
Cygnus olor
Cygnus columbianus
Cygnus cygnus
Alopochen aegyptiaca
Tadorna tadorna
Tadorna ferruginea
Aix galericulata
Sibirionetta formosa
Spatula querquedula
Spatula discors
Spatula clypeata
Mareca strepera
Mareca penelope
Mareca americana
Anas platyrhynchos
Anas rubripes
Anas acuta
Anas crecca
Anas carolinensis
Netta rufina
Aythya ferina
Aythya nyroca
Aythya collaris
Aythya fuligula
Aythya marila
Aythya affinis
Polysticta stelleri
Somateria spectabilis
Somateria mollissima
Melanitta perspicillata
Melanitta fusca
Melanitta deglandi
Melanitta stejnegeri
Melanitta nigra
Melanitta americana
Clangula hyemalis
Bucephala clangula
Mergellus albellus
Mergus merganser
Mergus serrator
Oxyura jamaicensis
Oxyura leucocephala
Caprimulgus europaeus
Caprimulgus aegyptius
Hirundapus caudacutus
Tachymarptis melba
Apus apus
Apus pallidus
Apus pacificus
Apus affinis
Apus caffer
Otis tarda
Chlamydotis macqueenii
Tetrax tetrax
Clamator glandarius
Coccyzus americanus
Coccyzus erythropthalmus
Cuculus canorus
Syrrhaptes paradoxus
Columba livia
Columba oenas
Columba palumbus
Streptopelia turtur
Streptopelia orientalis
Streptopelia decaocto
Zenaida macroura
Rallus aquaticus
Crex crex
Porzana parva
Porzana pusilla
Porzana porzana
Porphyrio alleni
Gallinula chloropus
Fulica atra
Antigone canadensis
Grus virgo
Grus grus
Tachybaptus ruficollis
Podiceps grisegena
Podiceps cristatus
Podiceps auritus
Podiceps nigricollis
Burhinus oedicnemus
Haematopus ostralegus
Himantopus himantopus
Recurvirostra avosetta
Vanellus vanellus
Vanellus gregarius
Vanellus leucurus
Pluvialis apricaria
Pluvialis fulva
Pluvialis dominica
Pluvialis squatarola
Charadrius hiaticula
Charadrius dubius
Charadrius alexandrinus
Charadrius mongolus
Charadrius atrifrons
Charadrius leschenaultii
Charadrius asiaticus
Charadrius morinellus
Bartramia longicauda
Numenius phaeopus
Numenius arquata
Limosa lapponica
Limosa limosa
Limosa haemastica
Arenaria interpres
Calidris canutus
Calidris pugnax
Calidris falcinellus
Calidris acuminata
Calidris himantopus
Calidris ferruginea
Calidris temminckii
Calidris ruficollis
Calidris alba
Calidris alpina
Calidris maritima
Calidris bairdii
Calidris minuta
Calidris fuscicollis
Calidris subruficollis
Calidris melanotos
Calidris pusilla
Limnodromus scolopaceus
Scolopax rusticola
Lymnocryptes minimus
Gallinago media
Gallinago gallinago
Xenus cinereus
Phalaropus tricolor
Phalaropus lobatus
Phalaropus fulicarius
Actitis hypoleucos
Actitis macularius
Tringa ochropus
Tringa flavipes
Tringa totanus
Tringa stagnatilis
Tringa glareola
Tringa erythropus
Tringa nebularia
Tringa melanoleuca
Cursorius cursor
Glareola pratincola
Glareola maldivarum
Glareola nordmanni
Rissa tridactyla
Pagophila eburnea
Xema sabini
Chroicocephalus genei
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Hydrocoloeus minutus
Rhodostethia rosea
Leucophaeus atricilla
Leucophaeus pipixcan
Ichthyaetus audouinii
Ichthyaetus melanocephalus
Ichthyaetus ichthyaetus
Larus canus
Larus delawarensis
Larus marinus
Larus glaucescens
Larus hyperboreus
Larus glaucoides
Larus argentatus
Larus cachinnans
Larus michahellis
Larus armenicus
Larus fuscus
Gelochelidon nilotica
Hydroprogne caspia
Thalasseus sandvicensis
Thalasseus elegans
Sternula albifrons
Onychoprion anaethetus
Sterna dougallii
Sterna hirundo
Sterna paradisaea
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Stercorarius skua
Stercorarius pomarinus
Stercorarius parasiticus
Stercorarius longicaudus
Alle alle
Uria lomvia
Uria aalge
Alca torda
Cepphus grylle
Fratercula arctica
Gavia stellata
Gavia arctica
Gavia pacifica
Gavia immer
Gavia adamsii
Oceanites oceanicus
Thalassarche melanophris
Hydrobates pelagicus
Oceanodroma leucorhoa
Fulmarus glacialis
Calonectris diomedea
Calonectris borealis
Ardenna grisea
Ardenna gravis
Puffinus puffinus
Puffinus mauretanicus
Puffinus lherminieri
Ciconia nigra
Ciconia ciconia
Fregata magnificens
Morus bassanus
Sula leucogaster
Microcarbo pygmaeus
Phalacrocorax aristotelis
Phalacrocorax carbo
Plegadis falcinellus
Platalea leucorodia
Botaurus stellaris
Botaurus lentiginosus
Ixobrychus minutus
Nycticorax nycticorax
Ardeola ralloides
Bubulcus ibis
Ardea cinerea
Ardea purpurea
Ardea alba
Egretta garzetta
Pelecanus crispus
Pandion haliaetus
Elanus caeruleus
Neophron percnopterus
Pernis apivorus
Gyps fulvus
Circaetus gallicus
Clanga pomarina
Clanga clanga
Hieraaetus pennatus
Aquila nipalensis
Aquila heliaca
Aquila chrysaetos
Aquila fasciata
Accipiter nisus
Accipiter gentilis
Circus aeruginosus
Circus cyaneus
Circus hudsonius
Circus macrourus
Circus pygargus
Milvus milvus
Milvus migrans
Haliaeetus albicilla
Buteo lagopus
Buteo rufinus
Buteo buteo
Tyto alba
Otus scops
Bubo scandiacus
Bubo bubo
Strix aluco
Surnia ulula
Glaucidium passerinum
Athene noctua
Aegolius funereus
Asio otus
Asio flammeus
Upupa epops
Coracias garrulus
Alcedo atthis
Merops persicus
Merops apiaster
Jynx torquilla
Picoides tridactylus
Dendrocoptes medius
Dryobates minor
Dendrocopos major
Colaptes auratus
Dryocopus martius
Picus viridis
Falco naumanni
Falco tinnunculus
Falco sparverius
Falco vespertinus
Falco eleonorae
Falco columbarius
Falco subbuteo
Falco cherrug
Falco rusticolus
Falco peregrinus
Lanius cristatus
Lanius collurio
Lanius phoenicuroides
Lanius schach
Lanius minor
Lanius excubitor
Lanius senator
Vireo olivaceus
Oriolus oriolus
Garrulus glandarius
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Coloeus dauuricus
Corvus frugilegus
Corvus corone
Corvus cornix
Corvus corax
Bombycilla garrulus
Periparus ater
Lophophanes cristatus
Poecile palustris
Poecile montanus
Cyanistes caeruleus
Parus major
Remiz pendulinus
Panurus biarmicus
Lullula arborea
Alauda arvensis
Galerida cristata
Eremophila alpestris
Calandrella brachydactyla
Melanocorypha bimaculata
Riparia riparia
Hirundo rustica
Ptyonoprogne rupestris
Delichon urbicum
Cecropis semirufa
Cecropis rufula
Cecropis daurica
Aegithalos caudatus
Phylloscopus sibilatrix
Phylloscopus bonelli
Phylloscopus humei
Phylloscopus inornatus
Phylloscopus proregulus
Phylloscopus schwarzi
Phylloscopus griseolus
Phylloscopus fuscatus
Phylloscopus trochilus
Phylloscopus collybita
Phylloscopus ibericus
Phylloscopus nitidus
Phylloscopus plumbeitarsus
Phylloscopus trochiloides
Phylloscopus borealis
Acrocephalus arundinaceus
Acrocephalus paludicola
Acrocephalus schoenobaenus
Acrocephalus agricola
Acrocephalus dumetorum
Acrocephalus scirpaceus
Acrocephalus palustris
Iduna caligata
Iduna pallida
Hippolais polyglotta
Hippolais icterina
Helopsaltes fasciolatus
Locustella lanceolata
Locustella naevia
Locustella fluviatilis
Locustella luscinioides
Cisticola juncidis
Sylvia atricapilla
Sylvia borin
Curruca nisoria
Curruca curruca
Curruca nana
Curruca communis
Curruca sarda
Curruca cantillans
Curruca iberiae
Curruca subalpina
Curruca melanocephala
Curruca ruppeli
Regulus ignicapilla
Regulus regulus
Troglodytes troglodytes
Sitta europaea
Certhia familiaris
Certhia brachydactyla
Pastor roseus
Sturnus vulgaris
Sturnus unicolor
Zoothera aurea
Catharus ustulatus
Catharus guttatus
Turdus torquatus
Turdus merula
Turdus obscurus
Turdus atrogularis
Turdus eunomus
Turdus pilaris
Turdus iliacus
Turdus philomelos
Turdus viscivorus
Turdus migratorius
Muscicapa striata
Muscicapa dauurica
Erithacus rubecula
Larvivora sibilans
Luscinia svecica
Luscinia luscinia
Luscinia megarhynchos
Calliope calliope
Tarsiger cyanurus
Ficedula hypoleuca
Ficedula albicollis
Ficedula parva
Ficedula albicilla
Phoenicurus ochruros
Phoenicurus phoenicurus
Monticola saxatilis
Saxicola rubetra
Saxicola rubicola
Saxicola maurus
Saxicola stejnegeri
Oenanthe oenanthe
Oenanthe isabellina
Oenanthe deserti
Oenanthe hispanica
Oenanthe melanoleuca
Oenanthe pleschanka
Oenanthe leucopyga
Cinclus cinclus
Passer domesticus
Passer hispaniolensis
Passer montanus
Montifringilla nivalis
Prunella collaris
Prunella montanella
Prunella atrogularis
Prunella modularis
Motacilla flava
Motacilla tschutschensis
Motacilla citreola
Motacilla cinerea
Motacilla alba
Anthus richardi
Anthus godlewskii
Anthus campestris
Anthus pratensis
Anthus trivialis
Anthus hodgsoni
Anthus cervinus
Anthus spinoletta
Anthus petrosus
Fringilla coelebs
Fringilla montifringilla
Coccothraustes coccothraustes
Pinicola enucleator
Pyrrhula pyrrhula
Bucanetes githagineus
Carpodacus erythrinus
Chloris chloris
Linaria flavirostris
Linaria cannabina
Acanthis flammea
Loxia pytyopsittacus
Loxia curvirostra
Loxia leucoptera
Carduelis carduelis
Serinus serinus
Spinus spinus
Calcarius lapponicus
Plectrophenax nivalis
